Baud, Errors
8021, 18994, 11
8022, 18994, 20
8023, 18994, 36
8024, 18994, 41
8025, 18994, 38
8026, 18994, 43
8027, 18994, 39
8028, 18994, 42
8029, 18994, 45
8030, 18994, 43
8031, 18994, 35
8032, 18994, 21
8033, 18994, 12
8034, 18994, 12
8035, 18994, 28
8036, 18994, 37
8037, 18994, 35
8038, 18994, 42
8039, 18994, 43
8040, 18994, 41
8041, 18994, 42
8042, 18994, 34
8043, 18994, 37
8044, 18994, 25
8045, 18994, 16
8046, 18994, 8
8047, 18994, 13
8048, 18994, 30
8049, 18994, 34
8050, 18994, 40
8051, 18994, 43
8052, 18994, 43
8053, 18994, 43
8054, 18994, 40
8055, 18994, 39
8056, 18994, 32
8057, 18994, 12
8058, 18994, 7
8059, 18994, 8
8060, 18994, 23
8061, 18994, 33
8062, 18994, 40
8063, 18994, 42
8064, 18994, 43
8065, 18994, 41
8066, 18994, 39
8067, 18994, 36
8068, 18994, 40
8069, 18994, 23
8070, 18994, 11
8071, 18994, 8
8072, 18994, 19
8073, 18994, 29
8074, 18994, 39
8075, 18994, 39
8076, 18994, 40
8077, 18994, 40
8078, 18994, 41
8079, 18994, 38
8080, 18994, 34
8081, 18994, 28
8082, 18994, 18
8083, 18994, 8
8084, 18994, 14
8085, 18994, 21
8086, 18994, 39
8087, 18994, 33
8088, 18994, 41
8089, 18994, 41
8090, 18994, 39
8091, 18994, 41
8092, 18994, 40
8093, 18994, 32
8094, 18994, 30
8095, 18994, 7
8096, 18994, 5
8097, 18994, 18
8098, 18994, 32
8099, 18994, 39
8100, 18994, 42
7900, 18995, 42
7901, 18995, 41
7902, 18995, 40
7903, 18995, 39
7904, 18995, 40
7905, 18995, 40
7906, 18995, 37
7907, 18995, 13
7908, 18995, 7
7909, 18995, 16
7910, 18995, 19
7911, 18995, 37
7912, 18995, 43
7913, 18995, 42
7914, 18995, 40
7915, 18995, 39
7916, 18995, 42
7917, 18995, 38
7918, 18995, 35
7919, 18995, 25
7920, 18995, 11
7921, 18995, 10
7922, 18995, 18
7923, 18995, 37
7924, 18995, 45
7925, 18995, 40
7926, 18995, 41
7927, 18995, 39
7928, 18995, 44
7929, 18995, 41
7930, 18995, 42
7931, 18995, 33
7932, 18995, 20
7933, 18995, 15
7934, 18995, 16
7935, 18995, 26
7936, 18995, 37
7937, 18995, 35
7938, 18995, 40
7939, 18995, 43
7940, 18995, 43
7941, 18995, 44
7942, 18995, 40
7943, 18995, 35
7944, 18995, 27
7945, 18995, 19
7946, 18995, 8
7947, 18995, 18
7948, 18995, 28
7949, 18995, 38
7950, 18995, 44
7951, 18995, 41
7952, 18995, 45
7953, 18995, 43
7954, 18995, 42
7955, 18995, 38
7956, 18995, 34
7957, 18995, 16
7958, 18995, 15
7959, 18995, 12
7960, 18995, 24
7961, 18995, 37
7962, 18995, 46
7963, 18995, 42
7964, 18995, 42
7965, 18995, 39
7966, 18995, 39
7967, 18995, 36
7968, 18995, 39
7969, 18995, 31
7970, 18995, 18
7971, 18995, 10
7972, 18995, 20
7973, 18995, 27
7974, 18995, 41
7975, 18995, 45
7976, 18995, 45
7977, 18995, 41
7978, 18995, 44
7979, 18995, 43
7980, 18995, 43
7981, 18995, 42
7982, 18995, 20
7983, 18995, 8
7984, 18995, 15
7985, 18995, 25
7986, 18995, 38
7987, 18995, 42
7988, 18995, 43
7989, 18995, 44
7990, 18995, 43
7991, 18995, 41
7992, 18995, 48
7993, 18995, 38
7994, 18995, 29
7995, 18995, 8
7996, 18995, 10
7997, 18995, 11
7998, 18995, 36
7999, 18995, 37
8000, 18995, 44
8001, 18995, 45
8002, 18995, 44
8003, 18995, 43
8004, 18995, 45
8005, 18995, 39
8006, 18995, 31
8007, 18995, 14
8008, 18995, 9
8009, 18995, 11
8010, 18995, 26
8011, 18995, 39
8012, 18995, 46
8013, 18995, 45
8014, 18995, 41
8015, 18995, 40
8016, 18995, 41
8017, 18995, 37
8018, 18995, 40
8019, 18995, 29
8020, 18995, 16
8021, 18995, 12
8022, 18995, 22
8023, 18995, 37
8024, 18995, 43
8025, 18995, 41
8026, 18995, 41
8027, 18995, 40
8028, 18995, 41
8029, 18995, 39
8030, 18995, 40
8031, 18995, 31
8032, 18995, 25
8033, 18995, 9
8034, 18995, 10
8035, 18995, 32
8036, 18995, 36
8037, 18995, 39
8038, 18995, 42
8039, 18995, 41
8040, 18995, 41
8041, 18995, 42
8042, 18995, 39
8043, 18995, 35
8044, 18995, 25
8045, 18995, 14
8046, 18995, 7
8047, 18995, 13
8048, 18995, 30
8049, 18995, 36
8050, 18995, 39
8051, 18995, 40
8052, 18995, 40
8053, 18995, 40
8054, 18995, 42
8055, 18995, 39
